2018-12-26 15:06:31 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:32 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:33 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:34 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:35 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:37 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:38 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:38 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:39 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:40 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:41 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:43 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:44 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:06:44 [INFO] [gatherlog/proto/handler.go:34] connect from 127.0.0.1: 
2018-12-26 15:09:55 [INFO] [gatherlog/server/grpc/grpc.go:20] server start
2018-12-26 15:10:21 [INFO] [gatherlog/server/grpc/grpc.go:20] server start
2018-12-26 15:24:00 [INFO] [gatherlog/server/grpc/grpc.go:20] server start
2018-12-27 17:58:29 [INFO] [gatherlog/server/grpc/grpc.go:20] server start
